"row_id","violence_type","metric","year","value","unit","sex","age_group","nationality","region","source_name","source_publication","source_table","source_url","confidence","notes"
"1","femicide_intimate_partner","count","2003","71","absolute","female","all","all","national","Delegacion_Gobierno","Estadística de Víctimas Mortales por Violencia de Género 2003","annual total","https://violenciagenero.igualdad.gob.es/violenciaEnCifras/victimasMortales/fichaMujeres/home.htm","high","First year of official registry; includes partner & ex-partner homicides only"
"2","femicide_intimate_partner","count","2004","72","absolute","female","all","all","national","Delegacion_Gobierno","Estadística de Víctimas Mortales por Violencia de Género 2004","annual total","https://violenciagenero.igualdad.gob.es/violenciaEnCifras/victimasMortales/fichaMujeres/home.htm","medium","Value from secondary summary; verify against primary annual report PDF"
"3","femicide_intimate_partner","count","2005","57","absolute","female","all","all","national","Delegacion_Gobierno","Estadística de Víctimas Mortales por Violencia de Género 2005","annual total","https://violenciagenero.igualdad.gob.es/violenciaEnCifras/victimasMortales/fichaMujeres/home.htm","medium","Value from secondary summary; verify against primary annual report PDF"
"4","femicide_intimate_partner","count","2006","69","absolute","female","all","all","national","Delegacion_Gobierno","Estadística de Víctimas Mortales por Violencia de Género 2006","annual total","https://violenciagenero.igualdad.gob.es/violenciaEnCifras/victimasMortales/fichaMujeres/home.htm","medium","Value from secondary summary"
"5","femicide_intimate_partner","count","2007","71","absolute","female","all","all","national","Delegacion_Gobierno","Estadística de Víctimas Mortales por Violencia de Género 2007","annual total","https://violenciagenero.igualdad.gob.es/violenciaEnCifras/victimasMortales/fichaMujeres/home.htm","medium","Value from secondary summary"
"6","femicide_intimate_partner","count","2008","76","absolute","female","all","all","national","Delegacion_Gobierno","Estadística de Víctimas Mortales por Violencia de Género 2008","annual total","https://violenciagenero.igualdad.gob.es/violenciaEnCifras/victimasMortales/fichaMujeres/home.htm","medium","Highest recorded year in series"
"7","femicide_intimate_partner","count","2009","56","absolute","female","all","all","national","Delegacion_Gobierno","Estadística de Víctimas Mortales por Violencia de Género 2009","annual total","https://violenciagenero.igualdad.gob.es/violenciaEnCifras/victimasMortales/fichaMujeres/home.htm","medium","Value from secondary summary"
"8","femicide_intimate_partner","count","2010","73","absolute","female","all","all","national","Delegacion_Gobierno","Estadística de Víctimas Mortales por Violencia de Género 2010","annual total","https://violenciagenero.igualdad.gob.es/violenciaEnCifras/victimasMortales/fichaMujeres/home.htm","medium","Value from secondary summary"
"9","femicide_intimate_partner","count","2011","61","absolute","female","all","all","national","Delegacion_Gobierno","Estadística de Víctimas Mortales por Violencia de Género 2011","annual total","https://violenciagenero.igualdad.gob.es/violenciaEnCifras/victimasMortales/fichaMujeres/home.htm","medium","Value from secondary summary"
"10","femicide_intimate_partner","count","2012","52","absolute","female","all","all","national","Delegacion_Gobierno","Estadística de Víctimas Mortales por Violencia de Género 2012","annual total","https://violenciagenero.igualdad.gob.es/violenciaEnCifras/victimasMortales/fichaMujeres/home.htm","medium","Value from secondary summary"
"11","femicide_intimate_partner","count","2013","54","absolute","female","all","all","national","Delegacion_Gobierno","Estadística de Víctimas Mortales por Violencia de Género 2013","annual total","https://violenciagenero.igualdad.gob.es/violenciaEnCifras/victimasMortales/fichaMujeres/home.htm","medium","Value from secondary summary"
"12","femicide_intimate_partner","count","2014","54","absolute","female","all","all","national","Delegacion_Gobierno","Estadística de Víctimas Mortales por Violencia de Género 2014","annual total","https://violenciagenero.igualdad.gob.es/violenciaEnCifras/victimasMortales/fichaMujeres/home.htm","medium","Value from secondary summary"
"13","femicide_intimate_partner","count","2015","60","absolute","female","all","all","national","Delegacion_Gobierno","Estadística de Víctimas Mortales por Violencia de Género 2015","annual total","https://violenciagenero.igualdad.gob.es/violenciaEnCifras/victimasMortales/fichaMujeres/home.htm","medium","Value from secondary summary"
"14","femicide_intimate_partner","count","2016","49","absolute","female","all","all","national","Delegacion_Gobierno","Estadística de Víctimas Mortales por Violencia de Género 2016","annual total","https://violenciagenero.igualdad.gob.es/violenciaEnCifras/victimasMortales/fichaMujeres/home.htm","medium","Value from secondary summary"
"15","femicide_intimate_partner","count","2017","51","absolute","female","all","all","national","Delegacion_Gobierno","Estadística de Víctimas Mortales por Violencia de Género 2017","annual total","https://violenciagenero.igualdad.gob.es/violenciaEnCifras/victimasMortales/fichaMujeres/home.htm","medium","Value from secondary summary"
"16","femicide_intimate_partner","count","2018","47","absolute","female","all","all","national","Delegacion_Gobierno","Estadística de Víctimas Mortales por Violencia de Género 2018","annual total","https://violenciagenero.igualdad.gob.es/violenciaEnCifras/victimasMortales/fichaMujeres/home.htm","medium","Value from secondary summary"
"17","femicide_intimate_partner","count","2019","55","absolute","female","all","all","national","Delegacion_Gobierno","Estadística de Víctimas Mortales por Violencia de Género 2019","annual total","https://violenciagenero.igualdad.gob.es/violenciaEnCifras/victimasMortales/fichaMujeres/home.htm","medium","Value from secondary summary"
"18","femicide_intimate_partner","count","2020","44","absolute","female","all","all","national","Delegacion_Gobierno","Estadística de Víctimas Mortales por Violencia de Género 2020","annual total","https://violenciagenero.igualdad.gob.es/violenciaEnCifras/victimasMortales/fichaMujeres/home.htm","medium","COVID year — mobility restrictions may suppress reported homicides"
"19","femicide_intimate_partner","count","2021","43","absolute","female","all","all","national","Delegacion_Gobierno","Estadística de Víctimas Mortales por Violencia de Género 2021","annual total","https://violenciagenero.igualdad.gob.es/violenciaEnCifras/victimasMortales/fichaMujeres/home.htm","medium","Value from secondary summary"
"20","femicide_intimate_partner","count","2022","49","absolute","female","all","all","national","Delegacion_Gobierno","Estadística de Víctimas Mortales por Violencia de Género 2022","annual total","https://violenciagenero.igualdad.gob.es/violenciaEnCifras/victimasMortales/fichaMujeres/home.htm","medium","LO 10/2022 (Solo sí es sí) enacted Oct 2022 — affects sexual crime counts but not homicide registry"
"21","femicide_intimate_partner","count","2023","57","absolute","female","all","all","national","Delegacion_Gobierno","Estadística de Víctimas Mortales por Violencia de Género 2023","annual total","https://violenciagenero.igualdad.gob.es/violenciaEnCifras/victimasMortales/fichaMujeres/home.htm","medium","Value from secondary summary; verify against primary report"
"22","femicide_intimate_partner","count","2024","58","absolute","female","all","all","national","Delegacion_Gobierno","Estadística de Víctimas Mortales por Violencia de Género 2024","annual total","https://violenciagenero.igualdad.gob.es/violenciaEnCifras/victimasMortales/fichaMujeres/home.htm","low","Provisional / partial year figure — verify final count"
"23","femicide_intimate_partner","count","2000","","absolute","female","all","all","national","Delegacion_Gobierno","","annual total","https://violenciagenero.igualdad.gob.es/violenciaEnCifras/victimasMortales/fichaMujeres/home.htm","unverified","Registry started 2003; 2000-2002 may be reconstructed or unavailable — needs checking"
"24","femicide_intimate_partner","count","2001","","absolute","female","all","all","national","Delegacion_Gobierno","","annual total","","unverified","Pre-registry; needs primary source"
"25","femicide_intimate_partner","count","2002","","absolute","female","all","all","national","Delegacion_Gobierno","","annual total","","unverified","Pre-registry; needs primary source"
"26","victimisation_sexual_lifetime","prevalence_pct","2019","7.0","percent_women_ever_experienced","female","16+","all","national","Delegacion_Gobierno","Macroencuesta de Violencia contra la Mujer 2019","Table 2.1 / headline figure","https://violenciagenero.igualdad.gob.es/violenciaEnCifras/macroencuesta2015/Macroencuesta2019/home.htm","medium","Lifetime prevalence of sexual violence (any) since age 15; ~2500 sample — verify exact table and CI"
"27","victimisation_sexual_lifetime","prevalence_pct","2015","7.2","percent_women_ever_experienced","female","16+","all","national","Delegacion_Gobierno","Macroencuesta de Violencia contra la Mujer 2015","headline figure","https://violenciagenero.igualdad.gob.es/violenciaEnCifras/macroencuesta2015/home.htm","medium","2015 macroencuesta lifetime sexual violence prevalence; verify exact table"
"28","victimisation_sexual_lifetime","prevalence_pct","2011","","percent_women_ever_experienced","female","16+","all","national","Delegacion_Gobierno","Macroencuesta de Violencia contra la Mujer 2011","","","unverified","2011 wave — exact value needs primary source lookup"
"29","victimisation_partner_physical_lifetime","prevalence_pct","2019","12.0","percent_women_ever_experienced","female","16+","all","national","Delegacion_Gobierno","Macroencuesta de Violencia contra la Mujer 2019","headline figure","","medium","Lifetime physical violence by partner/ex; ~12% frequently cited — verify exact figure and definition"
"30","victimisation_partner_physical_lifetime","prevalence_pct","2015","10.3","percent_women_ever_experienced","female","16+","all","national","Delegacion_Gobierno","Macroencuesta de Violencia contra la Mujer 2015","headline figure","","medium","Verify exact figure"
"31","sexual_crimes_reported","count","2022","16468","absolute","female","all","all","national","Ministerio_Interior","Estadística de violencia doméstica y violencia de género 2022","","https://www.interior.gob.es/opencms/es/servicios-al-ciudadano/estadistica/estadisticas-de-seguridad/estadistica-de-violencia-domestica-y-violencia-de-genero/","low","CAUTION: LO 10/2022 enacted Oct 2022 merged abusos+agresiones → figure not comparable to prior years; verify exact value and scope (all victims not only female)"
"32","sexual_crimes_reported","count","2023","","absolute","all","all","all","national","Ministerio_Interior","Estadística de violencia doméstica y violencia de género 2023","","","unverified","Post-reform figures; need primary source — reported large increase due to reclassification"
"33","domestic_violence_denuncias","count","2019","166961","absolute","female","all","all","national","CGPJ","Estadística Violencia Doméstica y de Género 2019","Tabla 1","","medium","Denuncias por violencia de género (Ley Orgánica 1/2004 scope only: partner/ex); verify exact table"
"34","domestic_violence_denuncias","count","2020","152777","absolute","female","all","all","national","CGPJ","Estadística Violencia Doméstica y de Género 2020","Tabla 1","","medium","COVID suppression likely; verify"
"35","domestic_violence_denuncias","count","2021","164221","absolute","female","all","all","national","CGPJ","Estadística Violencia Doméstica y de Género 2021","Tabla 1","","medium","Verify"
"36","domestic_violence_denuncias","count","2022","168168","absolute","female","all","all","national","CGPJ","Estadística Violencia Doméstica y de Género 2022","Tabla 1","","medium","Verify"
"37","female_population_total","count","2000","20245507","absolute","female","all","all","national","INE","Padrón Municipal / Cifras de Población","Table: population by sex","","medium","Approximate; verify from INE Cifras de Población series"
"38","female_population_total","count","2010","23573744","absolute","female","all","all","national","INE","Padrón Municipal / Cifras de Población","Table: population by sex","","medium","Approximate; verify"
"39","female_population_total","count","2020","23847927","absolute","female","all","all","national","INE","Padrón Municipal / Cifras de Población","Table: population by sex","","medium","Approximate; verify"
"40","female_population_total","count","2023","24275217","absolute","female","all","all","national","INE","Padrón Municipal / Cifras de Población","Table: population by sex","","medium","Approximate; verify"
"41","femicide_rate_per100k","rate","2019","0.23","per_100k_women","female","all","all","national","DERIVED","","","","low","DERIVED: 55 / ~23.8M women * 100000; confidence low pending verified denominator"
"42","femicide_rate_per100k","rate","2020","0.18","per_100k_women","female","all","all","national","DERIVED","","","","low","DERIVED: 44 / ~23.9M; COVID year"
"43","femicide_rate_per100k","rate","2021","0.18","per_100k_women","female","all","all","national","DERIVED","","","","low","DERIVED: 43 / ~23.9M"
"44","femicide_rate_per100k","rate","2022","0.20","per_100k_women","female","all","all","national","DERIVED","","","","low","DERIVED: 49 / ~24.1M"
"45","femicide_rate_per100k","rate","2023","0.23","per_100k_women","female","all","all","national","DERIVED","","","","low","DERIVED: 57 / ~24.3M"
